[AXUM] 2023-04-24 00:00:39 |304|    1ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-24 00:00:39 |304|    0ms |       127.0.0.1 | GET   /assets/index-79670659.js
[AXUM] 2023-04-24 00:00:39 |304|    0ms |       127.0.0.1 | GET   /assets/index-2eafa77e.css
[AXUM] 2023-04-24 00:00:39 |304|    0ms |       127.0.0.1 | GET   /assets/video-72d4bab7.js
[AXUM] 2023-04-24 00:00:39 |304|    0ms |       127.0.0.1 | GET   /assets/video-2a1789a7.js
[AXUM] 2023-04-24 00:00:39 |200|    1ms |       127.0.0.1 | GET   /assets/video-ff30816a.css
[AXUM] 2023-04-24 00:00:39 |200|    5ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-24 00:00:42 |206|   70ms |       127.0.0.1 | GET   /video/NestJS入门到实战前端必学服务端新趋势【完结】/{10}--第10章nestjs服务端开发：接口开发/[10.13]--10-13创建用户：创建及异常处理逻辑TypeORMFilter.mp4
[AXUM] 2023-04-24 00:00:42 |206|    0ms |       127.0.0.1 | GET   /video/NestJS入门到实战前端必学服务端新趋势【完结】/{10}--第10章nestjs服务端开发：接口开发/[10.13]--10-13创建用户：创建及异常处理逻辑TypeORMFilter.mp4
[AXUM] 2023-04-24 00:00:42 |206|    0ms |       127.0.0.1 | GET   /video/NestJS入门到实战前端必学服务端新趋势【完结】/{10}--第10章nestjs服务端开发：接口开发/[10.13]--10-13创建用户：创建及异常处理逻辑TypeORMFilter.mp4
[AXUM] 2023-04-24 00:00:42 |206|    0ms |       127.0.0.1 | GET   /video/NestJS入门到实战前端必学服务端新趋势【完结】/{10}--第10章nestjs服务端开发：接口开发/[10.13]--10-13创建用户：创建及异常处理逻辑TypeORMFilter.mp4
[AXUM] 2023-04-24 00:00:50 |304|    0ms |       127.0.0.1 | GET   /assets/list-fc8a65d0.css
[AXUM] 2023-04-24 00:00:50 |304|    0ms |       127.0.0.1 | GET   /assets/list-8ff53bb9.js
[AXUM] 2023-04-24 00:00:50 |200|    0ms |       127.0.0.1 | GET   /list
[AXUM] 2023-04-24 00:00:51 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-24 00:00:53 |206|   66ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-6 实验：与HTTP请求的第一次亲密接触.mp4
[AXUM] 2023-04-24 00:00:53 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-6 实验：与HTTP请求的第一次亲密接触.mp4
[AXUM] 2023-04-24 00:00:53 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-6 实验：与HTTP请求的第一次亲密接触.mp4
[AXUM] 2023-04-24 00:00:53 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-6 实验：与HTTP请求的第一次亲密接触.mp4
[AXUM] 2023-04-24 00:01:55 |206|   69ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:01:55 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:01:55 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:01:55 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:02:00 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:09:26 |304|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-24 00:09:27 |304|    0ms |       127.0.0.1 | GET   /assets/index-79670659.js
[AXUM] 2023-04-24 00:09:27 |304|    0ms |       127.0.0.1 | GET   /assets/index-2eafa77e.css
[AXUM] 2023-04-24 00:09:27 |304|    0ms |       127.0.0.1 | GET   /assets/video-2a1789a7.js
[AXUM] 2023-04-24 00:09:27 |304|    0ms |       127.0.0.1 | GET   /assets/video-72d4bab7.js
[AXUM] 2023-04-24 00:09:27 |304|    0ms |       127.0.0.1 | GET   /assets/video-ff30816a.css
[AXUM] 2023-04-24 00:09:27 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-24 00:12:34 |304|    1ms |       127.0.0.1 | GET   /assets/index-2eafa77e.css
[AXUM] 2023-04-24 00:12:34 |304|    1ms |       127.0.0.1 | GET   /assets/video-ff30816a.css
[AXUM] 2023-04-24 00:12:38 |200|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-24 00:12:38 |200|    0ms |       127.0.0.1 | GET   /assets/index-2eafa77e.css
[AXUM] 2023-04-24 00:12:38 |200|    0ms |       127.0.0.1 | GET   /assets/index-79670659.js
[AXUM] 2023-04-24 00:12:38 |200|    0ms |       127.0.0.1 | GET   /assets/video-2a1789a7.js
[AXUM] 2023-04-24 00:12:38 |200|    0ms |       127.0.0.1 | GET   /assets/video-72d4bab7.js
[AXUM] 2023-04-24 00:12:38 |200|    0ms |       127.0.0.1 | GET   /assets/video-ff30816a.css
[AXUM] 2023-04-24 00:12:38 |200|    2ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-24 00:12:38 |200|    6ms |       127.0.0.1 | GET   /favicon.ico
[AXUM] 2023-04-24 00:12:38 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:12:38 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:12:39 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:15:25 |200|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-24 00:15:25 |200|    0ms |       127.0.0.1 | GET   /assets/index-2eafa77e.css
[AXUM] 2023-04-24 00:15:25 |200|    0ms |       127.0.0.1 | GET   /assets/index-79670659.js
[AXUM] 2023-04-24 00:15:25 |200|    0ms |       127.0.0.1 | GET   /assets/video-2a1789a7.js
[AXUM] 2023-04-24 00:15:25 |200|    0ms |       127.0.0.1 | GET   /assets/video-72d4bab7.js
[AXUM] 2023-04-24 00:15:25 |200|    0ms |       127.0.0.1 | GET   /assets/video-ff30816a.css
[AXUM] 2023-04-24 00:15:25 |200|    3ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-24 00:15:25 |200|    0ms |       127.0.0.1 | GET   /favicon.ico
[AXUM] 2023-04-24 00:15:25 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:15:25 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:15:25 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:15:25 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:15:25 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:15:37 |200|    0ms |       127.0.0.1 | GET   /favicon.ico
[AXUM] 2023-04-24 00:16:11 |200|    8ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-24 00:16:11 |200|    3ms |       127.0.0.1 | GET   /assets/index-2eafa77e.css
[AXUM] 2023-04-24 00:16:11 |200|   32ms |       127.0.0.1 | GET   /assets/index-627033ec.js
[AXUM] 2023-04-24 00:16:11 |200|   10ms |       127.0.0.1 | GET   /assets/video-ff30816a.css
[AXUM] 2023-04-24 00:16:11 |200|   17ms |       127.0.0.1 | GET   /assets/video-f069be1a.js
[AXUM] 2023-04-24 00:16:11 |200|   30ms |       127.0.0.1 | GET   /assets/video-48f43c9c.js
[AXUM] 2023-04-24 00:16:11 |200|    2ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-24 00:16:11 |200|   27ms |       127.0.0.1 | GET   /favicon.ico
[AXUM] 2023-04-24 00:16:11 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:16:11 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:16:13 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:16:13 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:16:19 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:20:45 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:46 |206|    9ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:46 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:46 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:46 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:46 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:46 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:46 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:46 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:47 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:47 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:47 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:47 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:47 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:47 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:47 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:47 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:48 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:48 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:51 |304|    4ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-24 00:25:51 |304|    5ms |       127.0.0.1 | GET   /assets/index-2eafa77e.css
[AXUM] 2023-04-24 00:25:51 |304|   18ms |       127.0.0.1 | GET   /assets/index-627033ec.js
[AXUM] 2023-04-24 00:25:51 |304|    5ms |       127.0.0.1 | GET   /assets/video-ff30816a.css
[AXUM] 2023-04-24 00:25:51 |304|   10ms |       127.0.0.1 | GET   /assets/video-f069be1a.js
[AXUM] 2023-04-24 00:25:51 |304|   16ms |       127.0.0.1 | GET   /assets/video-48f43c9c.js
[AXUM] 2023-04-24 00:25:51 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-24 00:25:51 |206|    1ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:25:51 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:30:31 |304|    0ms |       127.0.0.1 | GET   /assets/video-ff30816a.css
[AXUM] 2023-04-24 00:30:31 |304|    1ms |       127.0.0.1 | GET   /assets/index-2eafa77e.css
[AXUM] 2023-04-24 00:30:44 |200|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-24 00:30:44 |200|    0ms |       127.0.0.1 | GET   /assets/index-627033ec.js
[AXUM] 2023-04-24 00:30:44 |200|    0ms |       127.0.0.1 | GET   /assets/index-2eafa77e.css
[AXUM] 2023-04-24 00:30:44 |200|    0ms |       127.0.0.1 | GET   /assets/video-f069be1a.js
[AXUM] 2023-04-24 00:30:44 |200|    0ms |       127.0.0.1 | GET   /assets/video-48f43c9c.js
[AXUM] 2023-04-24 00:30:44 |200|    0ms |       127.0.0.1 | GET   /assets/video-ff30816a.css
[AXUM] 2023-04-24 00:30:44 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-24 00:30:44 |200|   10ms |       127.0.0.1 | GET   /favicon.ico
[AXUM] 2023-04-24 00:30:44 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:30:44 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:30:44 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:30:44 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:30:44 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 00:41:40 |304|    1ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-24 00:41:40 |304|    0ms |       127.0.0.1 | GET   /assets/index-627033ec.js
[AXUM] 2023-04-24 00:41:40 |304|    0ms |       127.0.0.1 | GET   /assets/index-2eafa77e.css
[AXUM] 2023-04-24 00:41:40 |304|    0ms |       127.0.0.1 | GET   /assets/video-48f43c9c.js
[AXUM] 2023-04-24 00:41:40 |200|    6ms |       127.0.0.1 | GET   /assets/list-fc8a65d0.css
[AXUM] 2023-04-24 00:41:40 |200|   12ms |       127.0.0.1 | GET   /assets/list-8518e521.js
[AXUM] 2023-04-24 00:41:40 |200|    1ms |       127.0.0.1 | GET   /list
[AXUM] 2023-04-24 01:25:43 |304|    0ms |       127.0.0.1 | GET   /assets/video-ff30816a.css
[AXUM] 2023-04-24 01:25:43 |304|    0ms |       127.0.0.1 | GET   /assets/video-f069be1a.js
[AXUM] 2023-04-24 01:25:43 |200|    3ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-24 01:25:43 |206|    1ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 01:25:43 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
[AXUM] 2023-04-24 01:25:43 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第3章 HTTP再邂逅--熟悉HTTP协议结构和通讯原理/3-1 HTTP协议特点.mp4
